"filename", "language", "Markdown", "C", "Makefile", "LinkerScript", "XML", "Log", "Batch", "C++", "Assembly", "comment", "blank", "total"
"c:\xampp\htdocs\Projects\GalacOSTheBest\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\Makefile", "Makefile", 0, 0, 74, 0, 0, 0, 0, 0, 0, 38, 18, 130
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\AllocPages.c", "C", 0, 77, 0, 0, 0, 0, 0, 0, 0, 87, 21, 185
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\FreePages.c", "C", 0, 63, 0, 0, 0, 0, 0, 0, 0, 61, 22, 146
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\Makefile", "Makefile", 0, 0, 40, 0, 0, 0, 0, 0, 0, 35, 21, 96
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\bltgrid.c", "C", 0, 107, 0, 0, 0, 0, 0, 0, 0, 4, 21, 132
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\debughook.c", "C", 0, 80, 0, 0, 0, 0, 0, 0, 0, 1, 17, 98
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\drv0.c", "C", 0, 76, 0, 0, 0, 0, 0, 0, 0, 95, 21, 192
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\drv0.h", "C++", 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 9, 36
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\drv0_use.c", "C", 0, 58, 0, 0, 0, 0, 0, 0, 0, 5, 17, 80
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\exit.c", "C", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\lfbgrid.c", "C", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 24, 171
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\modelist.c", "C", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 14, 109
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\printenv.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\route80h.c", "C", 0, 112, 0, 0, 0, 0, 0, 0, 0, 3, 22, 137
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\setdbg.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\setjmp.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t2.c", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t3.c", "C", 0, 68, 0, 0, 0, 0, 0, 0, 0, 7, 21, 96
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t4.c", "C", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t5.c", "C", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t6.c", "C", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t7.c", "C", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t8.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\tcc.c", "C", 0, 377, 0, 0, 0, 0, 0, 0, 0, 3, 52, 432
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\tpause.c", "C", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\unsetdbg.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\bootloader\Makefile", "Makefile", 0, 0, 37, 0, 0, 0, 0, 0, 0, 35, 22, 94
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\bootloader\main.c", "C", 0, 217, 0, 0, 0, 0, 0, 0, 0, 1, 50, 268
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\Makefile", "Makefile", 0, 0, 27, 0, 0, 0, 0, 0, 0, 36, 15, 78
