Date : 2023-03-15 18:34:00
Directory : c:\xampp\htdocs\Projects\GalacOSTheBest
Total : 209 files,  19845 codes, 6031 comments, 4839 blanks, all 30715 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        115 |     11,756 |      3,286 |      2,936 |     17,978 |
| C            |         70 |      7,114 |      2,543 |      1,742 |     11,399 |
| LinkerScript |          9 |        576 |         23 |         23 |        622 |
| Makefile     |          8 |        311 |        179 |        123 |        613 |
| Log          |          1 |         40 |          0 |         11 |         51 |
| XML          |          2 |         20 |          0 |          0 |         20 |
| Assembly     |          1 |         16 |          0 |          1 |         17 |
| Batch        |          2 |         11 |          0 |          2 |         13 |
| Markdown     |          1 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        209 |     19,845 |      6,031 |      4,839 |     30,715 |
| . (Files)                                                                              |          1 |          1 |          0 |          1 |          2 |
| gnu-efi                                                                                |        152 |     18,079 |      6,012 |      4,489 |     28,580 |
| gnu-efi (Files)                                                                        |          1 |         74 |         38 |         18 |        130 |
| gnu-efi\apps                                                                           |         26 |      1,581 |        302 |        354 |      2,237 |
| gnu-efi\bootloader                                                                     |          2 |        254 |         36 |         72 |        362 |
| gnu-efi\gnuefi                                                                         |         14 |        839 |        241 |        106 |      1,186 |
| gnu-efi\inc                                                                            |         66 |     10,094 |      3,222 |      2,591 |     15,907 |
| gnu-efi\inc (Files)                                                                    |         35 |      7,109 |      2,145 |      1,805 |     11,059 |
| gnu-efi\inc\aarch64                                                                    |          3 |        114 |         63 |         42 |        219 |
| gnu-efi\inc\arm                                                                        |          3 |        108 |         65 |         42 |        215 |
| gnu-efi\inc\ia32                                                                       |          4 |        612 |        166 |        153 |        931 |
| gnu-efi\inc\ia64                                                                       |          5 |        845 |        198 |        187 |      1,230 |
| gnu-efi\inc\mips64el                                                                   |          3 |        119 |         64 |         45 |        228 |
| gnu-efi\inc\protocol                                                                   |          9 |        483 |        346 |        157 |        986 |
| gnu-efi\inc\protocol (Files)                                                           |          8 |        346 |        297 |        134 |        777 |
| gnu-efi\inc\protocol\ia64                                                              |          1 |        137 |         49 |         23 |        209 |
| gnu-efi\inc\x86_64                                                                     |          4 |        704 |        175 |        160 |      1,039 |
| gnu-efi\lib                                                                            |         43 |      5,237 |      2,173 |      1,348 |      8,758 |
| gnu-efi\lib (Files)                                                                    |         22 |      4,142 |      1,594 |      1,090 |      6,826 |
| gnu-efi\lib\aarch64                                                                    |          2 |         44 |         37 |         10 |         91 |
| gnu-efi\lib\arm                                                                        |          3 |         54 |         42 |         14 |        110 |
| gnu-efi\lib\ia32                                                                       |          2 |        150 |         46 |         32 |        228 |
| gnu-efi\lib\ia64                                                                       |          4 |        293 |        144 |         71 |        508 |
| gnu-efi\lib\mips64el                                                                   |          2 |         44 |         37 |         10 |         91 |
| gnu-efi\lib\runtime                                                                    |          5 |        378 |        188 |         87 |        653 |
| gnu-efi\lib\x86_64                                                                     |          3 |        132 |         85 |         34 |        251 |
| kernel                                                                                 |         56 |      1,765 |         19 |        349 |      2,133 |
